sp_car,sp_bike,ps_car,ps_bike
1412.44444444444,1061.86440677966,1211.875,1030.69318181818
1187.0,969.407407407407,1171.81818181818,1014.3137254902
1330.8,1152.09,1924.57142857143,1509.8
1111.88888888889,962.636363636364,1855.375,1488.82432432432
1752.5,1223.43661971831,1293.26666666667,1044.53982300885
1448.14285714286,1214.42592592593,1750.0,1700.72881355932
1321.625,989.278481012658,1723.16666666667,1660.03278688525
1499.57142857143,1059.81443298969,1497.33333333333,1130.12
989.2,903.894117647059,1394.71428571429,1093.26666666667
1631.5,1442.9387755102,1378.5,1067.34426229508
1300.33333333333,1145.725,1761.33333333333,1360.13793103448
1532.75,1062.30337078652,2025.0,1476.82051282051
1014.83333333333,790.972972972973,1708.0,1597.27659574468
1832.25,1525.17567567568,1960.66666666667,1651.52380952381
1183.0,1141.5,1928.33333333333,1475.26086956522
