sp_car,sp_bike,ps_car,ps_bike
638.923076923077,593.434426229508,717.294117647059,610.133858267717
784.2,691.282258064516,621.25,655.519379844961
582.142857142857,561.990566037736,811.5,613.983193277311
774.263157894737,668.84962406015,741.555555555556,675.086956521739
718.857142857143,589.418803418803,730.266666666667,661.048780487805
669.588235294118,615.854961832061,663.444444444444,627.056338028169
752.9,614.582677165354,645.944444444444,626.376068376068
615.133333333333,564.553719008264,764.263157894737,710.444444444444
653.0,593.06015037594,696.0,588.016260162602
618.857142857143,602.565656565657,734.730769230769,672.25
612.277777777778,578.115942028986,536.875,625.838383838384
653.0,593.06015037594,696.0,588.016260162602
774.263157894737,668.84962406015,741.555555555556,675.086956521739
653.0,593.06015037594,696.0,588.016260162602
760.071428571429,663.304347826087,616.769230769231,639.99173553719
