sp_car,sp_bike,ps_car,ps_bike
2487.2,1900.19672131148,1757.55,1386.36134453782
1029.5,1155.15873015873,1651.22222222222,1469.02352941176
1844.25,1579.46315789474,1733.875,1513.45669291339
1856.84615384615,1699.66037735849,2070.83333333333,1574.97368421053
2045.8,1610.22463768116,2114.6,1859.91549295775
2045.8,1045.11363636364,1825.5,1581.06060606061
1681.36363636364,1470.93150684932,1892.14285714286,1333.88372093023
1885.66666666667,1709.13571428571,1228.5,908.46511627907
1782.63636363636,1615.27058823529,1883.13333333333,1306.49473684211
1555.0,1261.04347826087,1745.16666666667,1548.36263736264
2196.75,2050.4,2175.75,1533.53543307087
1709.6,1372.14141414141,1850.27272727273,1634.70642201835
1673.53846153846,1432.87356321839,1957.71428571429,1836.05494505495
1634.5,1713.72,2129.4,1580.20437956204
1743.16666666667,1339.91666666667,1794.11111111111,1702.43119266055
