density,type,speed,time
high,without,4.48528307596269,75.996430460074
high,without,4.47414909142201,79.8278313864906
high,without,4.44688040138715,78.5439907252351
high,without,4.42848098443971,80.1179572935426
high,without,4.46092074327662,75.5399434883124
high,without,4.30967369025312,87.6327002053388
high,without,4.28827512535007,86.9069767441861
high,without,4.46015813132149,79.1835338822039
high,without,4.56157099363177,75.5001305483029
high,without,4.47414909142201,79.8278313864906
high,with,4.11785513929343,85.6703661181273
high,with,4.04079223630097,94.7891052564592
high,with,4.04079223630097,94.7891052564592
high,with,4.17730127222185,85.9682436811406
high,with,4.23738772794422,80.8087480759364
high,with,4.01766181915959,96.3379204892966
high,with,4.02023955097812,92.5336854308901
high,with,4.02570511928872,94.7974507824331
high,with,3.97259318738943,98.0016489091832
high,with,4.18188290051575,86.1698284823285
high,rickshaw,4.20164311071118,86.4212805038048
high,rickshaw,4.31957149102188,80.714157476276
high,rickshaw,4.32001821462841,78.4756791720569
high,rickshaw,4.26427536632307,81.5988924050633
high,rickshaw,4.25531433288279,83.0601465107313
high,rickshaw,4.17804863439659,87.7843237704918
high,rickshaw,4.34294346043514,77.6481694093634
high,rickshaw,4.35932753364217,78.3632797175363
high,rickshaw,4.29288305454321,79.797282273008
high,rickshaw,4.25416908461282,84.8388674388674
high,car,4.05126565715721,94.284358340918
high,car,4.38328637515831,78.1474108769191
high,car,4.07525362002937,116.731054205122
high,car,4.26331579868422,83.587631511419
high,car,4.06136378692065,96.4091780646811
high,car,4.3543079613347,79.8179065174457
high,car,4.36269995380456,78.2921319471185
high,car,4.34728884949563,77.9535275080906
high,car,4.29488908805622,82.4935149156939
high,car,4.18232736873953,87.7026060296372
high,cng,4.22911179503004,87.882806573957
high,cng,4.29571482021113,85.2331020303264
high,cng,4.38158670893559,78.3697295911829
high,cng,4.44030679666538,75.0033591731266
high,cng,4.2809838139485,84.3487558320373
high,cng,4.35043761680326,77.7093827482709
high,cng,4.3753552504285,79.7850888488282
high,cng,4.39515233735239,77.6669223884414
high,cng,4.22366233333597,84.4965170278638
high,cng,4.29208255857003,80.5574517978114
high,all_ped,2.96592095742962,204.348134524435
high,all_ped,3.05869145772408,178.36364822547
high,all_ped,2.92964795682104,199.364820846906
high,all_ped,3.15074559044423,163.912144362487
high,all_ped,3.09423067420594,185.88547008547
high,all_ped,2.95763680465241,187.458514169007
high,all_ped,2.92238389094059,196.267892317794
high,all_ped,2.89824710905355,195.665139416154
high,all_ped,3.19263616229497,170.423518663534
high,all_ped,2.96625414063144,186.999869229763
high,std_ped,4.47170373602176,76.6163422063303
high,std_ped,4.29136397140207,82.4213468538742
high,std_ped,4.38468413820254,76.5700389105058
high,std_ped,4.33074885156414,80.0740368929602
high,std_ped,4.32964603545498,81.8059951112826
high,std_ped,4.42994652004008,76.2126285262325
high,std_ped,4.36453335858235,77.4884575026233
high,std_ped,4.37511701833718,78.2132701421801
high,std_ped,4.44656549114701,76.0982740855229
high,std_ped,4.37268230758549,78.0731204943357
high,across_ped,3.5781997210208,128.389217704581
high,across_ped,3.58020669248681,127.011325175735
high,across_ped,3.70267079815289,118.560545100584
high,across_ped,3.39933649331164,149.422901344154
high,across_ped,3.31516727829183,153.820423444358
high,across_ped,3.62519542613877,124.448539727076
high,across_ped,3.37979496408014,150.872180451128
high,across_ped,3.67645327702454,128.770129703352
high,across_ped,3.58652380797989,133.354851080148
high,across_ped,3.50465105815826,129.238113496933
high,along_ped,4.39440581456306,82.1767977751291
high,along_ped,4.1594277006698,90.1341526520052
high,along_ped,4.20281524408188,93.503657128192
high,along_ped,4.12704793697856,99.158352519826
high,along_ped,4.16621105405438,94.8348492723493
high,along_ped,4.02470043652234,101.629103127423
high,along_ped,4.32770026645794,85.8880374074555
high,along_ped,4.19182467768956,93.8884649624825
high,along_ped,4.19481347448712,95.0446228774516
high,along_ped,4.01747020165439,102.935715217108
high,all,2.89743155318578,198.892909018883
high,all,2.61863536061983,258.294546401145
high,all,2.92489152330355,195.984535412606
high,all,3.06678255387834,177.240109318064
high,all,2.66022880174444,224.497819953834
high,all,2.66219885085643,217.44463218092
high,all,2.87802576993533,183.171451042076
high,all,2.92495304091449,195.732666839782
high,all,2.92495304091449,195.732666839782
high,all,2.60588194500662,240.982883475971
moderate,without,4.96293229983452,46.743216223936
moderate,without,4.90188742411313,45.5969084423306
moderate,without,4.90622211661422,47.5816326530612
moderate,without,4.95208287359949,49.029009762901
moderate,without,4.90622211661422,47.5816326530612
moderate,without,4.93392282098551,45.2658636897767
moderate,without,4.87841690289247,48.9847328244275
moderate,without,4.92147863192331,48.4460924130063
moderate,without,4.90110331531075,47.3246452360266
moderate,without,4.89708588157548,48.4192812321734
moderate,with,4.83413709424922,51.6843758926021
moderate,with,4.89365295412318,48.5170438269837
moderate,with,4.78693083579687,51.1865460712267
moderate,with,4.86694504729607,50.1888009381413
moderate,with,4.76130877917372,51.4545454545455
moderate,with,4.82719014300529,52.5424311926606
moderate,with,4.86931150255427,53.3221745350501
moderate,with,4.78989801804237,49.7897710377639
moderate,with,4.84633216991593,50.8560650029019
moderate,with,4.73960686586395,53.7450245168734
moderate,rickshaw,4.86614182755914,47.7286299765808
moderate,rickshaw,4.78897852658873,52.3052418187084
moderate,rickshaw,4.86144383279811,50.4148571428571
moderate,rickshaw,4.84243730211932,48.3952200524628
moderate,rickshaw,4.850304976302,49.8075920023182
moderate,rickshaw,4.86249932590394,47.1768648018648
moderate,rickshaw,4.80071803792181,49.7593123209169
moderate,rickshaw,4.88789322195376,49.1566820276498
moderate,rickshaw,4.91283185022572,49.8246110325318
moderate,rickshaw,4.90404122680378,47.9593849724398
moderate,car,4.86958123938646,49.3100436681223
moderate,car,4.81303389861865,47.1097417840376
moderate,car,4.91592361402919,48.3907913669065
moderate,car,4.83641011497655,51.2086905113804
moderate,car,4.78882397973445,50.4295400943396
moderate,car,4.84190354704447,51.7228811107897
moderate,car,4.83049715343788,49.1932675565874
moderate,car,4.85715939603112,47.9964570416298
moderate,car,4.77559757818597,49.9758281110116
moderate,car,4.89217050492459,48.2069550466497
moderate,cng,4.93545537439005,48.665306122449
moderate,cng,4.93974019053174,49.4891726818434
moderate,cng,4.89552774930399,48.9988678177187
moderate,cng,4.76683418769815,50.130790960452
moderate,cng,4.93355456300395,47.9493281075028
moderate,cng,4.84375432405754,49.7665534804754
moderate,cng,4.84725741777205,49.8457175269427
moderate,cng,4.85040055465234,49.7443452380952
moderate,cng,4.80752157886489,50.2496379959456
moderate,cng,4.88794508399914,47.3560011624528
moderate,all_ped,4.68688641362879,54.8399425287356
moderate,all_ped,4.66164587561166,51.9021289178001
moderate,all_ped,4.76745306168227,53.0103418557886
moderate,all_ped,4.79355223701255,52.6123156981787
moderate,all_ped,4.71295281411891,54.264553314121
moderate,all_ped,4.62287331964482,55.6966850828729
moderate,all_ped,4.73835473338207,54.068023417898
moderate,all_ped,4.64115069855325,54.9710658399764
moderate,all_ped,4.78203401323695,52.3006329113924
moderate,all_ped,4.73012297396117,55.1227352425482
moderate,std_ped,4.8468327047144,48.5434470891884
moderate,std_ped,4.8786593932126,50.5390301596688
